Timestamp,ParticipantID,Parity,QuestionID,QuestionText,Answer
2026-01-10T18:28:24.299Z,P_1767970855077_u9djzo2cb,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Очень эффективно"
2026-01-10T18:28:24.301Z,P_1767970855077_u9djzo2cb,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Очень точные"
2026-01-10T18:28:24.302Z,P_1767970855077_u9djzo2cb,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Отлично"
2026-01-10T18:28:24.302Z,P_1767970855077_u9djzo2cb,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T18:28:24.302Z,P_1767970855077_u9djzo2cb,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","ok"
2026-01-10T18:52:08.923Z,P_1767970855077_u9djzo2cb,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Очень эффективно"
2026-01-10T18:52:08.925Z,P_1767970855077_u9djzo2cb,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Очень точные"
2026-01-10T18:52:08.925Z,P_1767970855077_u9djzo2cb,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Хорошо"
2026-01-10T18:52:08.926Z,P_1767970855077_u9djzo2cb,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T18:52:08.926Z,P_1767970855077_u9djzo2cb,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","й"
2026-01-10T18:54:31.155Z,P_1767970855077_u9djzo2cb,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Очень эффективно"
2026-01-10T18:54:31.155Z,P_1767970855077_u9djzo2cb,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Достаточно точные"
2026-01-10T18:54:31.155Z,P_1767970855077_u9djzo2cb,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Плохо"
2026-01-10T18:54:31.155Z,P_1767970855077_u9djzo2cb,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T18:54:31.156Z,P_1767970855077_u9djzo2cb,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","л"
2026-01-10T18:55:37.331Z,P_1767970855077_u9djzo2cb,even,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Очень эффективно"
2026-01-10T18:55:37.332Z,P_1767970855077_u9djzo2cb,even,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Очень отзывчивы"
2026-01-10T18:55:37.333Z,P_1767970855077_u9djzo2cb,even,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Удовлетворительное"
2026-01-10T18:55:37.333Z,P_1767970855077_u9djzo2cb,even,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Не указано"
2026-01-10T18:55:37.333Z,P_1767970855077_u9djzo2cb,even,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","тт"
2026-01-10T18:58:20.456Z,P_1767970855077_u9djzo2cb,even,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Нейтрально"
2026-01-10T18:58:20.458Z,P_1767970855077_u9djzo2cb,even,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Отзывчивы"
2026-01-10T18:58:20.459Z,P_1767970855077_u9djzo2cb,even,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Отличное"
2026-01-10T18:58:20.459Z,P_1767970855077_u9djzo2cb,even,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Не указано"
2026-01-10T18:58:20.459Z,P_1767970855077_u9djzo2cb,even,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","чыфвчв"
2026-01-10T19:19:00.200Z,P_1767970855077_u9djzo2cb,even,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Нейтрально"
2026-01-10T19:19:00.202Z,P_1767970855077_u9djzo2cb,even,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Отзывчивы"
