Timestamp,ParticipantID,QuestionID,QuestionText,Answer
2026-01-09T15:04:33.929Z,P_1767970855077_u9djzo2cb,q1,"Как часто вы работаете с системой тикетов?","Ежедневно"
2026-01-09T15:04:33.931Z,P_1767970855077_u9djzo2cb,q2,"Насколько вы доверяете рекомендациям ИИ в работе?","Полностью доверяю"
2026-01-09T15:04:33.931Z,P_1767970855077_u9djzo2cb,q3,"Как вы предпочитаете работать с заявками?","Самостоятельно решать все тикеты"
2026-01-09T15:04:33.932Z,P_1767970855077_u9djzo2cb,q4,"Какие трудности вы обычно испытываете при работе с тикетами?","test"
2026-01-09T15:04:33.932Z,P_1767970855077_u9djzo2cb,q5,"Что для вас является главным критерием качества решения тикета?","test"
2026-01-09T15:04:33.932Z,P_1767970855077_u9djzo2cb,q6,"Какой уровень стресса вы обычно испытываете на работе?","Очень низкий"
2026-01-10T17:59:01.476Z,P_1767970855077_u9djzo2cb,even,q1,"Как часто вы работаете с системой тикетов?","Ежедневно"
2026-01-10T17:59:01.477Z,P_1767970855077_u9djzo2cb,even,q2,"Насколько вы доверяете рекомендациям ИИ в работе?","Полностью доверяю"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q3,"Как вы предпочитаете работать с заявками?","Делегировать часть работы"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q4,"Какие трудности вы обычно испытываете при работе с тикетами?","Не указано"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q5,"Что для вас является главным критерием качества решения тикета?","Не указано"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q6,"Какой уровень стресса вы обычно испытываете на работе?","Очень низкий"
2026-01-10T18:00:03.397Z,P_1767970855077_u9djzo2cb,even,q1,"Как часто вы работаете с системой тикетов?","Редко"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q2,"Насколько вы доверяете рекомендациям ИИ в работе?","Доверяю; но проверяю"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q3,"Как вы предпочитаете работать с заявками?","Делегировать часть работы"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q4,"Какие трудности вы обычно испытываете при работе с тикетами?","Не указано"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q5,"Что для вас является главным критерием качества решения тикета?","Не указано"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q6,"Какой уровень стресса вы обычно испытываете на работе?","Очень низкий"
2026-01-10T18:27:20.434Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Ежедневно"
2026-01-10T18:27:20.435Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T18:27:20.435Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T18:28:36.177Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Ежедневно"
2026-01-10T18:28:36.178Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T18:28:36.179Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T18:52:23.105Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Ежедневно"
2026-01-10T18:52:23.107Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T18:52:23.107Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T18:54:38.746Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T18:54:38.747Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
2026-01-10T18:54:38.747Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T18:55:43.702Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T18:55:43.703Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
